hastalik,aciklama,cilttipi,onerilen_urun,cilt_onerilen_urun
Zona (Herpes Zoster),5. Göğsümdeki kızarıklık sürtünmeden dolayı olabilir diye düşündüm ama emin değilim.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"6. Motorsiklet sürdükten sonra göğsümde acı veren, kırmızı ve kabarcıklı bir bölge oluştu.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),7. Göğsümdeki kızarıklık deri ceketimle temas ettiğinde dayanılmaz bir acı veriyor.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),8. Uzun bir sürüşün ardından göğsümde kaşıntılı ve kabarcıklı bir kızarıklık fark ettim.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),9. Sürtünmeden kaynaklandığını düşündüğüm göğsümdeki kızarıklık beni endişelendiriyor.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),10. Motorsiklet kullanırken göğsümde bir tahriş oluştu ve şimdi kabarcıklar var.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),11. Göğsümdeki kızarıklık ve kabarcıklar deri ceketimi giymemi zorlaştırıyor.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"12. Motorsiklet yolculuğundan sonra göğsümdeki deri kızardı, kabardı ve acı vermeye başladı.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"13. Göğsümde sürtünmeden kaynaklandığını düşündüğüm,  acı veren bir kızarıklık var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),14. Uzun süre motor kullandıktan sonra göğüs bölgemde yanma hissi ve kızarıklık oluştu.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"15. Deri ceketim, göğsümdeki kabarcıklı kızarıklığa sürtünerek acısını artırıyor.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),16. Motor sürüşü sonrası göğsümde oluşan kızarıklık ve kabarcıklar beni rahatsız ediyor.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"17. Göğsümde, motorsiklet kullandıktan sonra oluşan ve acı veren bir tahriş var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"18. Sürtünmeden dolayı göğsümde kırmızı, hassas ve kabarcıklı bir alan oluştu.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),19. Motorsiklet gezisi sonrası göğsümde oluşan kızarıklık için endişelenmeye başladım.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),20. Göğsümdeki kızarıklık deri ceketime değdiğinde yanma hissi veriyor.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),21. Uzun motor sürüşlerinden sonra göğsümde düzenli olarak kızarıklık oluşuyor.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"22. Göğsümdeki  kabarcıklı kızarıklık, deri ceketimin altındayken daha çok acıyor.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),23. Motorsiklet kullanımı sonrası göğsümdeki deri tahriş oldu ve kabarcıklar çıktı.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),24. Göğsümdeki kızarıklığın sürtünmeden kaynaklanıp kaynaklanmadığından emin değilim ve endişeliyim.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),25. Motorsiklet sürerken göğsümde bir rahatsızlık hissettim ve sonrasında kızarıklık oluştu.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"26. Göğsümde,  motorsiklet sürüşü sonrası oluşan ve deri ceketimle temas ettiğinde acıyan kabarcıklar var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),27. Motor kullanmaktan kaynaklanan sürtünme nedeniyle göğsümde kızarıklık ve kabarcıklar oluştuğunu düşünüyorum.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),28. Göğsümde oluşan  kızarıklık ve kabarcıklar  motorsiklet sürüşünden sonra daha da kötüleşiyor.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"29. Deri ceketimi giydiğimde, göğsümdeki sürtünmeden kaynaklanan kızarıklık daha da belirginleşiyor.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),30. Motorsiklet kullandıktan sonra göğsümde oluşan kızarıklık ve kabarcıklar giderek artıyor ve endişeleniyorum.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Kontakt Dermatit,1. Boynumdaki yeni kolyeden dolayı kızarıklık ve tahriş oluştu.,hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,2. Yeni kolyem boynumu tahriş edip kızartıyor.,hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"3. Boynumda, kolyemin değdiği yerde kızarıklık ve tahriş var.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,4. Kolyem boynumu ovuşturuyor ve bu da kızarıklığa ve kaşıntıya sebep oluyor.,hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,5. Boynumdaki kolye izi giderek rahatsız edici bir hal alıyor.,hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"6. Boynum, kolyemin altında kaşınıyor ve kızarıyor.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,7. Kolyem boynumda hassasiyet ve tahrişe neden oluyor.,hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"8. Boynum kolyeye karşı reaksiyon gösteriyor, kızardı ve kaşınıyor.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"9. Kolyemden dolayı boynumda alerjik reaksiyon oluşmuş olabilir, kızardı ve kaşınıyor.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"10. Boynumda kolyeden kaynaklanan bir tahriş var, oldukça kaşınıyor.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"11. Yeni kolyem boynumu tahriş ediyor, kızarıklık ve kaşıntı var.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,12. Kolyem boynumda iz bırakıyor ve bu da kaşıntı yapıyor.,hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,13. Boynumdaki kolye sürtünmesinden dolayı rahatsızlık hissediyorum.,hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"14. Kolyem boynumda kızarıklığa, tahrişe ve kaşıntıya yol açıyor.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"15. Boynum, kolyenin temas ettiği bölgede hassaslaştı ve kaşınıyor.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"16. Kolyem artık boynumu rahatsız ediyor, kızarıklık ve kaşıntı başladı.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,17. Boynumdaki kolye nedeniyle oluşan kızarıklık ve kaşıntı artıyor.,hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,18. Kolyem boynuma sürtüyor ve bu da kızarıklık ve kaşıntıya neden oluyor.,hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,19. Boynum kolyenin altında kızarık ve kaşıntılı.,hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,20. Kolyem boynumda alerjiye benzer bir reaksiyona sebep oluyor.,hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"21. Boynumdaki yeni kolye, başta sorun değildi ama şimdi kaşınıyor ve kızarıyor.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,22. Kolyem boynumu tahriş ederek kaşıntılı bir kızarıklığa neden oluyor.,hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,23. Boynumda kolyemden dolayı oluşan bir irritasyon var.,hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,24. Kolyemle temas eden bölgede boynum kızardı ve kaşınıyor.,hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,25. Boynumdaki kolyenin yeri kıpkırmızı ve dayanılmaz derecede kaşınıyor.,hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"26. Kolyem boynumu yara yapmış gibi hissediyorum, kızarık ve kaşıntılı.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"27. Boynum, kolyemin altında yanma ve kaşınma hissi veriyor.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"28. Kolyem boynumu acıtıp kaşındırıyor, kızarıklık da var.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,29. Boynumdaki kolyenin sebep olduğu kaşıntı ve kızarıklık beni çok rahatsız ediyor.,hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"30.  Kolyem boynumda egzama gibi bir reaksiyona neden oluyor, kızardı ve çok kaşınıyor.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,1. Burnum zamanla kalınlaşıp şişti gibi geliyor ve bunun rosacea ile bağlantılı olabileceğinden endişeliyim. Yanaklarımda da kızarıklık ve kılcal damarlar var.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,2. Burnumun giderek kalınlaştığını ve şiştiğini hissediyorum ve bunun rosacea belirtisi olabileceğinden kaygılıyım. Yanaklarımda kızarıklık ve belirgin damarlanma da mevcut.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"3. Burnum yıllar içinde kalınlaştı ve şişti, bunun rosacea ile ilgisi olabilir mi diye düşünüyorum. Yanaklarımda kırmızılıklar ve ince damarlar görüyorum.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,4. Burnumda zamanla bir kalınlaşma ve şişme fark ettim ve bunun rosaceadan kaynaklanabileceğinden şüpheleniyorum.  Yanaklarımda da kızarıklık ve damarlanma var.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"5. Burnumun yapısı yıllar içinde değişti, daha kalın ve şişkin görünüyor. Rosacea olabileceğinden endişeleniyorum.  Yanaklarımda da kızarıklık ve kılcal damar belirtileri var.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"6. Burnumda bir kalınlaşma ve şişme hissediyorum, acaba rosacea ile ilgili olabilir mi? Yanaklarımda kızarıklıklar ve ince damarlar da var.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"7. Yıllar içerisinde burnumun şekli değişti, kalınlaştı ve şişti. Bunun rosacea belirtisi olabileceğini düşünüyorum. Yanaklarımda da kızarıklık ve damarlanma problemi var.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"8. Burnum eskisi gibi değil, kalınlaştı ve şişti. Rosacea'dan şüpheleniyorum. Yanaklarım da kırmızı ve damarlı.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"9. Burnumun giderek kalınlaşıp şişmesi beni endişelendiriyor, rosacea olabilir mi? Yanaklarımda da kızarıklıklar ve kılcal damarlar görüyorum.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,10. Burnumda oluşan kalınlaşma ve şişkinlik rosacea belirtisi olabilir mi diye merak ediyorum. Yanaklarımda da kızarıklık ve damarlanma söz konusu.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,11. Burnum zamanla kalınlaşıp şişmeye başladı. Rosacea'dan şüpheleniyorum. Yanaklarımda da kızarıklık ve kılcal damarlar var.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,12. Burnumdaki kalınlaşma ve şişkinlik beni rahatsız ediyor. Acaba rosacea olabilir mi? Yanaklarımda da kızarıklık ve damar görüntüsü var.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"13. Burnumun yapısı değişti ve kalınlaştı, ayrıca şişkinlik de var. Rosacea olabilir diye düşünüyorum. Yanaklarımda kızarıklık ve kılcal damarlar da fark ediyorum.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"14. Yıllar geçtikçe burnumun şekli bozuldu, kalınlaştı ve şişti. Rosacea'dan endişe ediyorum. Yanaklarımda da kızarıklık ve damarlanma var.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,15. Burnumda bir kalınlaşma ve şişlik var ve bunun rosacea ile ilgili olabileceğini düşünüyorum. Yanaklarımda kızarıklık ve belirgin damarlar da var.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,16. Burnumun kalınlaşması ve şişmesi rosacea belirtisi olabilir mi?  Yanaklarımda da kızarıklık ve ince damarlar görünüyor.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,17. Burnumdaki değişiklikler (kalınlaşma ve şişlik) beni rosacea konusunda endişelendiriyor. Yanaklarımda da kızarıklık ve damarlanma sorunum var.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,18. Burnumun zamanla kalınlaştığını ve şiştiğini fark ettim. Rosacea olabilir mi? Yanaklarımda da kızarıklık ve kılcal damarlar var.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"19. Burnum eskisi gibi değil, daha kalın ve şiş. Rosacea'dan şüpheleniyorum. Yanaklarımda da kızarıklık ve damar problemi var.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"20. Burnumun görünümü değişti, kalınlaştı ve şişti. Rosacea olabilir diye korkuyorum. Yanaklarımda da kızarıklık ve damarlanma var.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,21. Burnumda son zamanlarda bir kalınlaşma ve şişlik hissediyorum. Rosacea ile ilgili olabilir mi? Yanaklarımda da kızarıklık ve kılcal damarlar gözlemliyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,22. Yıllar içinde burnum kalınlaştı ve şişti. Rosacea ihtimali beni endişelendiriyor. Yanaklarımda kızarıklık ve damarlanma da mevcut.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"23. Burnumun şekli değişti, daha kalın ve şiş bir hal aldı.  Rosacea'dan endişeleniyorum. Yanaklarımda kızarıklık ve kılcal damarlar var.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"24. Burnumun kalınlaştığını ve şiştiğini fark ettim, rosacea olabilir mi diye düşünüyorum.  Yanaklarımda kızarıklık ve damar çizgileri de var.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,25. Burnumdaki kalınlaşma ve şişlik beni rahatsız etmeye başladı. Rosacea olabileceğinden şüpheleniyorum. Yanaklarımda kızarıklık ve kılcal damarlar da mevcut.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
